Identifier,Label,Status,Description,Created,Modified,History notes,Type
293,Adult hospice care,Live,Provision of information about hospices in the area for terminally ill people and their carers.,03/04/2013,03/04/2013,Term name changed from 'Hospice care' to 'Hospice care (excludes children)' and scope notes added in version 2.02. Term name changed from 'Hospice care (excludes children)' to 'Social services - hospice care - adults' in version 3.00. Name changed to 'Adult hospice care' in version 4.00.,Service
1121,Adult placement,Live,The Adult Placement Scheme helps approved Adult Placement Carers (ordinary people from the local community) to share their home and time with someone in need. It is similar to fostering but for adults.,03/04/2013,03/04/2013,Name changed to 'Adult placement' in version 4.00.,Service
292,Adult residential care,Live,Residential or nursing home for elderly people and people with disabilities who are unable to manage at home.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Residential care' to 'Social services - residential care - adult' in version 3.00. Name changed to 'Adult residential care' in version 4.00.,Service
1082,Advertisement control,Live,Planning permission is required for certain types of advertisements and advertisements in specified areas. Copies of a Direction made under the relevant legislation must be kept open to inspection.,03/04/2013,03/04/2013,Name changed to 'Advertisement control' in version 4.00.,Service
700,Advice for young people,Live,"Integrated advice, guidance and access to personal development opportunities for young people aged between 13 and 19 to help them make a smooth transition to adulthood and working life",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes changed in version 3.00 for clarity. Term name changed from 'Advice for young people' to 'Children and young people - advice' in version 3.00. Name changed to 'Advice for young people' in version 4.00.,Service
349,Advice to businesses and voluntary organisations,Live,"Providing advice to new or existing businesses and voluntary organisations in the area on all aspects of running a business from starting a business to property, tax, employment law, business rates etc.",04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
162,Advocacy for carers,Live,"Advocacy on behalf of carers may include raising awareness of carers issues and helping to keep them on the agenda of all relevant agencies, setting out key values and principles for services to carers in the form of a local Carers Charter and improving the quality and increasing the availability of information to carers.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Advocacy for carers' to 'Carers - advocacy' in version 3.00. Name changed to 'Advocacy for carers in version 4.00. Scope notes revised in version 4.0.1.,Service
728,Advocacy for social care clients,Live,"Providing access to someone who can advocate on behalf of a social services client to ensure that they receive equal rights by writing letters, making phone calls, liaising with relevant agencies etc. on the clients behalf.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Updated scope notes to clarify service provision in version 3.00. Term name changed from 'Advocacy for social services clients' to 'Social services - advocacy for clients' in version 3.00. Name changed to 'Advocacy for social care clients' in version 4.00.,Service
1123,Affordable housing,Live,Housing provided at below market prices and allocated on the basis of need to people who live or work in the area or need to move to the local area to receive/provide support and who are unable to afford to purchase or rent houses generally available on the open market without financial assistance..,03/04/2013,03/04/2013,Name changed to 'Affordable housing' and scope notes revised in version 4.00.,Service
411,Air handling units,Live,Ventilation and air-conditioning systems which are poorly installed or maintained may be a health risk to the public.  The local authority can provide advice and guidance on all aspects of installation and can require that detailed plans are submitted for inspection prior to installation of new units.  This particularly applies to catering establishments.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed to 'Air handling units' in version 4.00.,Service
413,Air quality,Live,"Each council has responsibility for measuring the quality of ambient air to ensure that it meets required standards in relation to the concentration of a defined range of pollutants such as lead, nitrogen dioxide, benzene etc. The local authority is also required to keep a copy of any orders made under relevant legislation.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include maintaining the statutory register. Term name changed from 'Pollution control - air' to 'Pollution control - air quality' in version 3.00. Name changed to 'Air pollution' in version 4.00.,Service
1600,Alarm notification area,Live,The council can declare any part of their area as an alarm notification area.  Anyone who has an intruder alarm fitted to their property (business or residential) is required by law to nominate a key holder and notify the council of their details.,04/03/2013,16/05/2019,Update to name and description in March 2016 review,Service
727,Alcohol advice and support,Live,This service provides counselling advice and support for people affected by alcohol abuse/dependency.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Alcohol advisory service' to 'Social services - alcohol - advice and support' in version 3.00. Name changed to 'Alcohol advice and support' in version 4.00.,Service
657,Alley gating,Live,This service provides installation of security gates across footpaths and alleyways in residential areas and housing estates in order to combat crime.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Alley gating' to 'Community safety - lane gating' in version 3.00. Name changed to 'Alley gating' in version 4.00.,Service
86,Allocated council homes,Live,The local authority will allocate vacant properties according to priority on the housing register and suitability for the available property. New tenants will be required to sign a tenancy agreement prior to occupation of a property.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Housing allocations - allocated council home/lettings' to 'Housing - allocations - allocated council homes' in version 3.00. Name changed to 'Allocated council homes' in version 4.00.,Service
510,Allotments,Live,"Plots of land for use to grow vegetables, fruit and flowers available for rent by local citizens.  Water supplies, sheds/storage and skips are usually provided on allotment sites, car parking may also be available.  The authority will determine the regulations concerning the use of allotments and is responsible for ensuring adequate security (fences etc.) is provided.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Conservation and urban design planning - allotments' to 'Planning - allotments' in version 3.00. Name changed to 'Allotments' in version 4.00.,Service
732,Alternative care providers,Live,"Independent agencies who provide care for adults and children within the local area.  Care agencies may provide any from the range of care services such as residential care, care at home, sheltered housing and day care.  The council may use these agencies to provide care services.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Alternative providers of care' to 'Care - alternative providers' in version 3.00. Name changed to 'Alternative care providers' in version 4.00.,Service
1765,Alternative provision of education,Live,"Alternative provision is for pupils who can not attend mainstream school for a variety of reasons, such as school exclusion, behaviour issues, short or long-term illness, school refusal or teenage pregnancy.  Alternative provision may be in a special school, a pupil referral unit, alternative learning unit in school or provided by the council or with independent specialist providers.",12/09/2016,16/05/2019,Added in March 2016 review of legislation,Service
1774,Animal by-products enforcement,Live,"The local authority is responsible for ensuring that anyone in the area who works with animal by-products complies with regulations including those on how to process, transport, store and dispose of such products.",12/09/2016,12/09/2016,Added in March 2016 review of legislation,Service
1823,Animal health,Live,"Trading standards are responsible for monitoring and investigating animal health and welfare of livestock (particularly at markets and during transport) within the council area, ensuring animals are treated correctly and not caused unnecessary suffering.",28/04/2020,28/04/2020,Service added in 2019 review of trading standards,Service
772,Animal importation,Live,In order to ensure that animal diseases are not imported controls are in place which rely primarily on imported animals being accompanied by health certification and being subject to post-import veterinary inspection. Implementation of import regulations is the responsibility of the port authority into which the animals are imported.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes revised in version 3.00 to clarify service responsibility. Term name changed from 'Importation of animals' to 'Ports of entry - animals - importation' in version 3.00. Name changed to 'Animal importation' in version 4.00.,Service
788,Animal inspection,Live,"Local authorities inspect farms and land to: prevent outbreaks of animal disease, prevent environmental pollution, check farmers comply with regulations, provide advice at the request of farmers and to investigate complaints",04/03/2013,03/04/2013,Description updated in April 2020 review,Service
434,Animal welfare,Live,"The animal welfare sections responds to both reports from the public, and undertakes proactive patrols. The aims of the service are to protect local wildlife, to prevent nuisance from pet animals or from the keeping or boarding of pet animals and to reduce the risk to animal health arising from commercial keeping of pet or similar non-livestock animals.",04/03/2013,03/04/2013,Description updated in April 2020 review,Service
1483,Anti-social behaviour  - solvent abuse,Live,Police and partner agencies deal with reported incidents of noise and rowdy behaviour in public places resulting from solvent abuse,03/04/2013,03/04/2013,Added in version 3.11.,Service
1480,Anti-social behaviour - begging and vagrancy,Live,Police and partner agencies deal with reported incidents of begging and vagrancy in the local area,03/04/2013,03/04/2013,Added in version 3.11.,Service
1481,Anti-social behaviour - hoax or false calls to emergency services,Live,Police and partner agencies deal with hoax calls made to emergency services.,03/04/2013,03/04/2013,Added in version 3.11.,Service
1484,Anti-social behaviour - inconsiderate or nuisance,Live,Police and partner agencies deal with reported incidents of noise and rowdy behaviour in public places which is causing a nuisance to other members of the public,03/04/2013,03/04/2013,Added in version 3.11.,Service
1482,Anti-social behaviour - malicious or nuisance communication,Live,Police and partner agencies deal with reported incidents malicious or nuisance communication to members of the public,03/04/2013,25/01/2019,Added in version 3.11.,Service
1485,Anti-social behaviour - neighbour nuisance,Live,Police and partner agencies deal with incidents of noise and rowdy behaviour in private property which is causing a nuisance to neighbours,03/04/2013,03/04/2013,Added in version 3.11.,Service
1486,Anti-social behaviour - street drinking,Live,Police and partner agencies deal with incidents of noise and rowdy behaviour as a result of street drinking,03/04/2013,03/04/2013,Added in version 3.11.,Service
1487,Anti-social behaviour - vehicle,Live,Police and partner agencies deal with incidents of noise and rowdy behaviour involving vehicles,03/04/2013,03/04/2013,Added in version 3.11.,Service
369,Approved suppliers,Live,An approved list of suppliers and or contractors is maintained and is amended as required from time to time by the local authority. Local businesses may apply to be placed on the list of approved suppliers for work to be carried out for or on behalf of the council,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Approved suppliers' to 'Council - approved suppliers' in version 3.00. Name changed to 'Approved suppliers' in version 4.00.,Service
618,Archaeological consultancy,Live,"Provision of archaeological services and consultancy to both commercial and public sector clients in the local area. May offer talks, exhibitions to the public and to local schools.",03/04/2013,25/01/2019,Added scope notes in version 2.02. Term name changed from 'Archaeological consultancy' to 'Archaeology - consultancy' in version 3.00. Name changed to 'Archaeological consultancy' 25/01/2019.,Service
619,Archaeological excavations and surveys,Live,Protection and conservation of historic sites which includes advising on planning proposals for new developments where the development may impact on archaeological sites and monuments.,03/04/2013,25/01/2019,Added scope notes in version 2.02. Term name changed from 'Archaeological excavations and surveys' to 'Archaeology - excavations and surveys' in version 3.00. Name changed to 'Archaeological excavations and surveys' 25/01/2019.,Service
604,"Archive loans, donations, bequests and sales",Live,"Information of local interest which is available for viewing by the community are often donated, bequeathed or loaned to the records office by local residents and historians.  The local authority should have a standard agreement which is used to details terms of the loan or donation.",03/04/2013,03/04/2013,"Added scope notes in version 2.02. Term name changed from 'Loans, donations, bequests and sale to the Records Office' to 'Archives - loans, donations bequests and sales' in version 3.00. Name changed to 'Archive loans, donations, bequests and sales' in version 4.00.",Service
605,Archive withdrawals,Live,"A depositor may permanently withdraw their records at any time, provided notice is given to the Record Office. During this period of notice, the local authority reserves the right to copy the records and to make these copies available for private research",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Withdrawal of records' to 'Archives - withdrawals' in version 3.00. name changed to 'Archive withdrawals' in version 4.00.,Service
448,Archives,Live,"Archives are original documents produced by official bodies, societies and individuals that are no longer in current use. The council may provide a way for local residents and business to view their archives, often in a local library.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Archives' to 'Archives - general information' in version 3.00. Name changed to 'Archives' in version 4.00.,Service
877,Area waste strategy,Live,"The Aim of an Area Waste Plan (AWP) is to contribute to the sustainable development of the area by developing waste management systems that will control waste generation, reduce its environmental impact, improve resource efficiency, stimulate investment and maximise the economic opportunities arising from waste. The AWP covers all types of waste (household, commercial, industrial) but initially focuses on municipal waste (MW).",03/04/2013,03/04/2013,Scope notes revised in version 3.00 to clarify council responsibility. Term name changed from 'Municipal waste strategy' to 'Refuse - area waste strategy' in version 3.00. Name changed to 'Area waste strategy' in version 4.00.,Service
1654,Armed forces community covenant,Live,The aim of the community covenant is to encourage local communities to support the service community in their area and promote understanding and awareness among the public of issues affecting the armed forces community.,27/09/2013,27/09/2013,"Added in version 4.0.1 to the English hand welsh, local government service list.",Service
1603,Arson investigation,Live,Investigation of the cause of fires where arson is suspected.,03/04/2013,03/04/2013,Added in version 4.00.,Service
800,Arson reduction,Live,Advice on measures which can be taken by businesses and residents to reduce the likelihood of arson on their premises.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Arson reduction' to 'Fire and rescue - arson reduction' in version 3.00. Name changed to 'Arson reduction' in version 4.00.,Service
1372,Art commissions,Live,A local administration may commission works of art from local or other artists for display in public buildings or other art exhibitions in the area.,03/04/2013,03/04/2013,Added in version 3.09. Name changed to 'Art commissions' and scope notes updated in version 4.00.,Service
1791,Arts  and creative classes,Live,Creative arts classes enabling local residents the opportunity to discover and/or develop their creative potential,08/05/2017,08/05/2017,Added in March 2017.,Service
884,Arts development,Live,"Support and development of arts in the local community.  This is typically achieved by  by giving residents the opportunity to take part in arts activities and  also by providing information and support to local artists, arts groups and members of the public. The local authority may run arts projects in the community and work with local artists and other groups to plan future arts activity.",03/04/2013,03/04/2013,Term name changed from 'Arts development' to 'Arts - development' in version 3.00. Name changed to 'Arts development' and scope notes revised in version 4.00.,Service
838,Arts organisations and events,Live,"Provision of information and advice on local arts organisations, exhibitions and events.",03/04/2013,03/04/2013,"Added scope notes in version 2.02. Term name changed from 'General arts information (inc. location, events)' to 'Arts - information' in version 3.00. Name changed to 'Arts organisations and events' in version 4.00.",Service
415,Asbestos management,Live,Residents and business may be given advice on what to do if they believe asbestos may be present in a building.  Council inspectors may visit the premises to confirm the presence of asbestos and advise on procedures for removal and disposal.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed to 'Asbestos management' in version 4.00. ,Service
147,Assisted garden maintenance,Live,Garden maintenance for elderly (aged 60 or over) or disabled tenants who are not capable of doing the work themselves.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Garden maintenance' to 'Social services - garden maintenance' in version 3.00. Name changed to 'Assisted garden maintenance' in version 4.00.,Service
77,Asylum seekers and refugee support,Live,"Provision of temporary accommodation, meals and other advice and support for asylum seekers waiting for an application for refugee status to be assessed by the government and for refugees.",04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
1474,Attending arson incidents,Live,Fire and rescue services will attend and deal with reported incidents of arson or suspected arson.,03/04/2013,03/04/2013,Added in version 3.11. Name changed to 'Attending arson incidents' in version 4.00.,Service
801,Attending automatic fire alarms,Live,The local fire authority can provide advice to residents and business on the installation of automatic fire alarms and on the testing of such alarm systems following installation or any building/redecoration work undertaken in the alarmed area.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Automatic fire alarms' to 'Fire and rescue - attending automatic alarms' in version 3.00. Name changed to 'Attending automatic fire alarms' in version 4.00.,Service
815,Attending fires,Live,The fire services directs emergency calls to the emergency call handling centre which routes all calls for an area to fire control. Control will confirm with the address of the incident and help will be despatched immediately.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Attending fires' to 'Fire and rescue - attending fires' in version 3.00. Name changed to 'Attending fires' in version 4.00.,Service
379,Auction premises licence,Live,"Any premises used for public auctions must be registered unless the auction is a one day charity event. In this case, proof of charity status will be required. There is an application fee which must be paid at the time the application is made.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes changed to clarify scope in version 3.00. Term name changed from 'Licence - auction premises' to 'Licences - auction premises' in version 3.00. Name changed to 'Auction premises licence' in version 4.00.,Service
1728,Autism strategy,Live,"Development and publication of a strategy which sets out the vision, aims, objectives and plans of both health and social care for adults aged 18+ years who have or are seeking a diagnosis of autism.",20/02/2014,20/02/2014,,Service
1775,Bathing waters ,Live,A local authority is responsible for publishing information about any bathing waters (coastal or otherwise) in it's area.  Information to be published includes the water quality classification and any public health information (health risks) relating to the use of the water for swimming.  Information is published between May 15th and September 30th each year.,12/09/2016,12/09/2016,Added in March 2016 review of legislation,Service
756,Beach patrols,Live,This service generally operates during the hours of popular use of a beach. Its purpose is primarily to ensure the safety of beach users and to prevent anti-social behaviour which disturbs other beach users.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Beach patrol' to 'Coastline - beach patrols' in version 3.00. name changed to 'Beach patrols' in version 4.00.,Service
896,Behaviour development in schools,Live,"Educational psychologists work closely with teachers and parents to help children who are having difficulties with: Learning and general development, including reading, writing, spelling and numbers; Emotions and behaviour; Making good relationships with other children and with adults.",03/04/2013,25/01/2019,Term name changed from 'Education development behaviour centres' to 'Education - behaviour development ' in version 3.00. Name changed to 'Behaviour development' in version 4.00. Name changed to 'Behaviour development in schools' 25/01/2019.,Service
726,Benefit fraud,Live,"The local authority aim to detect and prevent any fraudulent benefit claims, stopping and reducing payment in fraudulent cases and preventing over-payment claims.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Fraud investigation' to 'Benefits - fraud investigation' in version 3.00. Name changed to 'Benefit fraud' in version 4.00.,Service
190,Benefits advice and assessment,Live,Advisors offering benefit assessment and providing advice about entitlement to welfare benefits to individuals in receipt of benefit or claiming benefit.,03/04/2013,16/05/2019,Term name changed from 'Financial assessment' to 'Financial assessment (benefits)' and scope notes added in version 2.02. Term name changed from 'Financial assessment (benefits)' to 'Welfare rights - benefits - advice and assessment' in version 3.00. Name changed to 'benefits advice and assessment' in version 4.00.,Service
328,Bereavement support,Live,"Provision of support and advice to relatives about the arrangements that need to be made after a bereavement, such as registering the death and obtaining a death certificate.",03/04/2013,03/04/2013,Term name changed from 'Bereavement' to 'Help with bereavement' and scope notes added in version 2.02. Term name changed from 'Help with bereavement' to 'Death - bereavement - advice and support' in version 3.00. Name changed to 'Bereavement support' in version 4.00.,Service
320,Birth certificate amendments,Live,Re-registration of a birth may be required if there is a need to change the details of the original registration because of a change of circumstances. Corrections may be necessary if a mistake was made on the original registration. Both are carried out by the Register Office.,03/04/2013,25/01/2019,Term name changed from' Birth - re-registering' to 'Re-registering births' and scope notes added in version 2.02. Term name changed from 'Re-registering births' to 'Birth - amendments to certificates' in version 3.00. Term name changed from 'Birth - amendments to certificates' to 'Birth - certificates - corrections and re-registrations' and scope notes updated in version 3.02. Name changed to 'Birth - re-registering' in version 4.00. Name changed to 'Birth certificate amendments' 25/01/2019,Service
319,Birth registration,Live,"Registration of a birth.  Every birth in England or Wales must be registered in the district in which it takes place within 42 days of the date of birth.  In Scotland, a birth must be registered in any Registration Office in Scotland within 21 days.",03/04/2013,16/05/2019,Term name changed from 'Birth - registering' to 'Registering births' and scope notes added in version 2.02. Scope notes changed in version 3.06 to include Scottish legislation. Term name changed from 'Registering births' to 'Birth - registering' in version 3.00. Name changed to 'Birth registration' in version 4.00.,Service
374,Boarding animals licence,Live,Anyone who carries on the business of providing accommodation for other people's cats and dogs is required to have a licence. The aim of the licensing requirements is to achieve certain standards in the management of the accommodation and to ensure precautions against disease and fire.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Licence - boarding animals' to 'Licences - boarding animals' in version 3.00. Name changed to 'Boarding animals licence in version 4.00.,Service
757,Boat and trailer parking,Live,"The local port/harbour authority may provide boat/trailer parking for rent daily, overnight or for longer periods.  This may also apply to inland lakes/reservoirs where sailing is available.",03/04/2013,03/04/2013,Term name changed from 'Boat and trailer parking' to 'Boat and trailer parking' and scope notes added in version 2.02. scope notes revised in version 3.00 to cover lakes/reservoirs. Term name changed from 'Boat and trailer parking' to 'Boats - boat and trailer parking' in version 3.00. Name changed to 'Boat and trailer parking' in version 4.00.,Service
762,Boat launching and recovery,Live,Port and harbour authorities and local authorities with coastline or inland waterways provide slipways which may be used for the launch and recovery of trailed boats.,03/04/2013,03/04/2013,Term name changed from 'Launching and recovery facilities' to 'Launching and recovery facilities' and scope notes added in version 2.02. Term name changed from 'Launching and recovery facilities' to 'Boats - launching and recovery facilities' in version 3.00. Name changed to 'Boat launching and recovery' in version 4.00.,Service
758,Boat moorings,Live,"Provision of permanent and/or temporary boat moorings for boat owners.  Moorings will be subject to charge and may be subject to restrictions (time, vessel size etc.).  All boat owners are required to have a permanent mooring for their vessel.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Boat moorings' to 'Boats - moorings' in version 3.00. Name changed to 'Boat mooringhs' in version 4.00.,Service
763,Boat registration,Live,Personal watercraft users must register their craft with the local authority in order to use its beaches or launches to launch their craft.  Users will generally need to prove their competence in order to obtain a permit.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Personal watercraft registration' to 'Boats - registration' in version 3.00. Name changed to 'Boat registration' in version 4.00.,Service
769,Boat waste disposal,Live,"Provision of waste reception facilities for all port users including pleasure boats, private yachts/boats and houseboats",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Waste reception / disposal' to 'Ports and harbours - waste reception and disposal' in version 3.00. Name changed to 'Boat waste disposal' in version 4.00.,Service
771,Boat winter storage,Live,Winter storage facilities for boats and other watercraft can be offered by the local authority (or port authority).  The authority processes applications for winter storage and maintains records of stored vessels.,03/04/2013,03/04/2013,Term name changed from 'Winter storage' to 'Winter storage (marine and waterway)' and scope notes added in version 2.02. Term name changed from 'Winter storage (marine and waterway)' to 'Boats - winter storage facilities' in version 3.00. Name changed to 'Boat winter storage' in version 4.00.,Service
741,Boatman's licence,Live,"Any person wishing to become a boatman must obtain a license. 'Boatman' refers to a person or operators who wish to hire out boats or crafts. There are two types of licence that can be obtained, restricted, which applies only to persons on the shore or pier or a full boatman's licence, which applies to persons who assist in the charge and navigation of pleasure boats, craft or vessels to be let for hire or be used for carrying passengers for hire.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Licence - boatman' to 'Licences - boatman's' in version 3.00. Name changed to 'Boatman's licence' in version 4.00.,Service
43,Book exhibitions,Live,"The library services department offers schools book exhibitions of currently available children's fiction, non fiction and picture books.",03/04/2013,03/04/2013,Term name changed from 'Exhibitions' to 'Exhibitions (educational)' and scope notes added in version 2.02. Term name changed from 'Exhibitions (educational)' to 'Libraries - schools - book exhibitions ' in version 3.00. Term name changed to 'Book exhibitions' in version 4.00.,Service
1601,Bookstart,Live,"Bookstart offers the gift of free books to all children at two key ages before they start school, to inspire a love of reading that will give children a flying start in life.",03/04/2013,25/01/2019,Added in version 4.00. Name changed to 'Bookstart' 25/01/2019.,Service
554,Bridge strengthening,Live,"Work carried out under the strengthening programme gives priority to principal road bridges. For substandard bridges on the non-principal road network, decisions are made whether to permanently weight restrict rather than strengthen.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Roads and highways - bridge strengthening' to 'Roads - bridge strengthening' in version 3.00. Name changed to 'Bridge strengthening' in version 4.00.,Service
1797,Brownfield land register,Live,"Each planning authority must keep and maintain a register of brownfield land in it's area.  Brownfield land is land which has been previously developed and which might be suitable for housing development.  Registers may be kept in two parts.  The first part (which is mandatory) is for sites categorised as previously developed land which are suitable, available and achievable for residential development.  The second part of the register (which is optional) allows the planning authority to select sites from part one and grant permission in principle (PiP) for housing-led development.  Further guidance can be found at http://schemas.opendata.esd.org.uk/brownfield.",08/09/2017,08/09/2017,Added in August 2017,Service
668,Building and landscape design,Live,"Ensuring that new development meets local criteria in respect of land use, practicality (drainage, parking, access etc.) and environmental considerations.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Conservation and urban design planning - building and landscape design services' to 'Planning - building and landscape design services' in version 3.00. Name changed to 'Building and landscape design' in version 4.00.,Service
